metric,value,status
Total Silver event records,2000,INFO
Duplicate rows removed,0,PASS
Silver validation checks passed,13,PASS
Silver validation checks failed,0,INFO
Missing amount fields (all events),1016,WARNING
Missing amount rate — all events (%),50.8,WARNING
Checkout rows with missing amount,142,WARNING
Missing checkout amount rate (%),54.62,WARNING
Non-checkout rows with amount (flagged),866,WARNING
User IDs anonymized,Yes — U-prefixed pseudonymous IDs,PASS
PII fields detected in dataset,None,PASS
