event_hour,total_events,checkout_events,unique_users,checkout_rate_pct,load_category
0,67,6,64,8.96,Medium
1,58,8,55,13.79,Low
2,97,10,88,10.31,High
3,78,16,73,20.51,Medium
4,66,10,60,15.15,Medium
5,85,16,75,18.82,Medium
6,75,10,70,13.33,Medium
7,74,9,67,12.16,Medium
8,105,10,89,9.52,Peak
9,86,10,83,11.63,High
10,69,10,64,14.49,Medium
11,96,14,87,14.58,High
12,89,11,82,12.36,High
13,89,13,79,14.61,High
14,82,14,67,17.07,Medium
15,78,6,69,7.69,Medium
16,105,14,89,13.33,Peak
17,94,11,81,11.7,High
18,83,5,76,6.02,Medium
19,96,14,83,14.58,High
20,89,14,77,15.73,High
21,85,8,79,9.41,Medium
22,88,9,76,10.23,High
23,66,12,62,18.18,Medium
