event_hour,add_to_cart,checkout,login,logout,page_view,profile_update,search,wishlist_add
0,6.0,6.0,9.0,8.0,10.0,7.0,9.0,12.0
1,5.0,8.0,9.0,5.0,9.0,11.0,4.0,7.0
2,13.0,10.0,16.0,10.0,11.0,18.0,13.0,6.0
3,11.0,16.0,10.0,4.0,6.0,9.0,13.0,9.0
4,10.0,10.0,10.0,8.0,9.0,5.0,6.0,8.0
5,9.0,16.0,10.0,7.0,11.0,10.0,11.0,11.0
6,9.0,10.0,13.0,6.0,10.0,13.0,5.0,9.0
7,9.0,9.0,12.0,7.0,8.0,9.0,10.0,10.0
8,10.0,10.0,19.0,9.0,9.0,13.0,13.0,22.0
9,12.0,10.0,14.0,7.0,8.0,10.0,14.0,11.0
10,9.0,10.0,9.0,9.0,5.0,8.0,7.0,12.0
11,12.0,14.0,10.0,11.0,11.0,12.0,15.0,11.0
12,8.0,11.0,10.0,8.0,10.0,18.0,9.0,15.0
13,10.0,13.0,16.0,9.0,8.0,15.0,10.0,8.0
14,12.0,14.0,11.0,9.0,13.0,10.0,3.0,10.0
15,12.0,6.0,6.0,10.0,12.0,13.0,11.0,8.0
16,14.0,14.0,11.0,13.0,12.0,10.0,17.0,14.0
17,13.0,11.0,15.0,14.0,6.0,12.0,12.0,11.0
18,21.0,5.0,9.0,7.0,12.0,6.0,12.0,11.0
19,6.0,14.0,18.0,12.0,14.0,7.0,13.0,12.0
20,13.0,14.0,8.0,11.0,7.0,11.0,13.0,12.0
21,9.0,8.0,12.0,11.0,11.0,13.0,11.0,10.0
22,10.0,9.0,12.0,10.0,12.0,8.0,13.0,14.0
23,9.0,12.0,7.0,8.0,9.0,7.0,7.0,7.0
