user_id,event_type,event_timestamp,event_date,event_hour,product_id,amount,is_checkout,is_amount_missing,amount_quality_status
U0099,checkout,2023-06-03 04:13:00,2023-06-03,4,P010,,True,True,missing_checkout_amount
U0240,wishlist_add,2023-06-03 05:08:00,2023-06-03,5,P020,2900.63,False,False,non_checkout_amount_present
U0374,profile_update,2023-06-05 06:22:00,2023-06-05,6,P028,,False,True,not_applicable
U0122,page_view,2023-06-06 03:45:00,2023-06-06,3,P001,,False,True,not_applicable
U0211,wishlist_add,2023-06-03 12:38:00,2023-06-03,12,P015,1728.27,False,False,non_checkout_amount_present
U0208,login,2023-06-04 03:13:00,2023-06-04,3,P018,2185.84,False,False,non_checkout_amount_present
U0327,checkout,2023-06-06 08:16:00,2023-06-06,8,P006,2875.06,True,False,valid_checkout_amount
U0249,logout,2023-06-01 13:12:00,2023-06-01,13,P005,,False,True,not_applicable
U0098,logout,2023-06-05 17:55:00,2023-06-05,17,P025,,False,True,not_applicable
U0056,profile_update,2023-06-05 03:26:00,2023-06-05,3,P026,,False,True,not_applicable
U0063,wishlist_add,2023-06-06 08:09:00,2023-06-06,8,P010,986.77,False,False,non_checkout_amount_present
U0131,search,2023-06-02 00:29:00,2023-06-02,0,P026,2528.03,False,False,non_checkout_amount_present
U0100,checkout,2023-06-02 09:02:00,2023-06-02,9,P029,,True,True,missing_checkout_amount
U0218,add_to_cart,2023-06-03 06:23:00,2023-06-03,6,P012,,False,True,not_applicable
U0144,add_to_cart,2023-06-05 22:38:00,2023-06-05,22,P027,,False,True,not_applicable
U0116,profile_update,2023-06-04 23:33:00,2023-06-04,23,P007,,False,True,not_applicable
U0032,profile_update,2023-06-02 12:51:00,2023-06-02,12,P008,597.66,False,False,non_checkout_amount_present
U0341,page_view,2023-06-03 08:43:00,2023-06-03,8,P025,,False,True,not_applicable
U0033,page_view,2023-06-04 20:55:00,2023-06-04,20,P004,2685.69,False,False,non_checkout_amount_present
U0317,profile_update,2023-06-04 15:52:00,2023-06-04,15,P024,1157.58,False,False,non_checkout_amount_present
U0007,wishlist_add,2023-06-03 18:11:00,2023-06-03,18,P014,695.42,False,False,non_checkout_amount_present
U0070,wishlist_add,2023-06-05 12:52:00,2023-06-05,12,P020,2910.47,False,False,non_checkout_amount_present
U0048,search,2023-06-02 16:28:00,2023-06-02,16,P024,2027.93,False,False,non_checkout_amount_present
U0367,add_to_cart,2023-06-04 09:10:00,2023-06-04,9,P003,,False,True,not_applicable
U0170,wishlist_add,2023-06-01 17:47:00,2023-06-01,17,P015,2483.79,False,False,non_checkout_amount_present
U0262,wishlist_add,2023-06-05 14:57:00,2023-06-05,14,P019,,False,True,not_applicable
U0269,login,2023-06-05 05:24:00,2023-06-05,5,P004,763.39,False,False,non_checkout_amount_present
U0251,page_view,2023-06-06 14:23:00,2023-06-06,14,P011,562.53,False,False,non_checkout_amount_present
U0377,search,2023-06-04 22:12:00,2023-06-04,22,P014,,False,True,not_applicable
U0145,profile_update,2023-06-02 02:18:00,2023-06-02,2,P003,,False,True,not_applicable
U0312,page_view,2023-06-04 20:16:00,2023-06-04,20,P020,1491.28,False,False,non_checkout_amount_present
U0249,wishlist_add,2023-06-05 22:19:00,2023-06-05,22,P003,,False,True,not_applicable
U0285,wishlist_add,2023-06-01 09:14:00,2023-06-01,9,P030,2906.11,False,False,non_checkout_amount_present
U0339,add_to_cart,2023-06-05 17:29:00,2023-06-05,17,P017,,False,True,not_applicable
U0005,page_view,2023-06-04 22:06:00,2023-06-04,22,P017,,False,True,not_applicable
U0389,login,2023-06-02 19:23:00,2023-06-02,19,P024,,False,True,not_applicable
U0180,add_to_cart,2023-06-04 06:32:00,2023-06-04,6,P005,528.55,False,False,non_checkout_amount_present
U0120,page_view,2023-06-01 19:22:00,2023-06-01,19,P001,2426.87,False,False,non_checkout_amount_present
U0052,wishlist_add,2023-06-05 16:32:00,2023-06-05,16,P013,856.11,False,False,non_checkout_amount_present
U0192,page_view,2023-06-04 09:06:00,2023-06-04,9,P019,,False,True,not_applicable
U0190,checkout,2023-06-03 00:09:00,2023-06-03,0,P024,939.67,True,False,valid_checkout_amount
U0317,add_to_cart,2023-06-03 18:59:00,2023-06-03,18,P006,933.2,False,False,non_checkout_amount_present
