week,week_start_date,avg_users,sales_growth_rate
2023-W21,2023-05-22,328,-0.003
2023-W22,2023-05-29,280,0.088
2023-W23,2023-06-05,130,0.073
2023-W24,2023-06-12,291,0.077
2023-W25,2023-06-19,200,-0.003
2023-W26,2023-06-26,135,0.08
2023-W27,2023-07-03,171,-0.015
2023-W28,2023-07-10,125,0.058
2023-W29,2023-07-17,305,0.002
2023-W30,2023-07-24,346,0.095
2023-W31,2023-07-31,313,-0.03
2023-W32,2023-08-07,375,0.05
2023-W33,2023-08-14,307,0.027
2023-W34,2023-08-21,306,0.02
2023-W35,2023-08-28,309,0.099
2023-W36,2023-09-04,393,0.087
2023-W37,2023-09-11,126,0.062
2023-W38,2023-09-18,150,0.007
2023-W39,2023-09-25,271,0.077
2023-W40,2023-10-02,298,0.082
